genesis 5:22	vayithalekh khanokh ’et ha’elohim ’akharei holido ’et metushelakh shelosh mei’ot shanah vayoled banim uwanot. 
genesis 5:23	vayhi kal yemei khanokh khamesh veshishim shanah ushelosh mei’ot shanah. 
genesis 5:24	vayithalekh khanokh ’et ha’elohim ve’einenu ki laqakh ’oto ’elohim. 
genesis 5:25	vaykhi metushelakh shewa‘ ushemonim shanah ume’at shanah vayoled ’et lamekh. 
genesis 5:26	vaykhi metushelakh ’akharei holido ’et lemekh shetayim ushemonim shanah ushewa‘ mei’ot shanah vayoled banim uwanot. 
genesis 5:27	vayihyu kal yemei metushelakh teisha‘ veshishim shanah utesha‘ mei’ot shanah vayamot. 
genesis 5:28	vaykhi lemekh shetayim ushemonim shanah ume’at shanah vayoled ben. 
genesis 5:29	vayiqra ’et shemo noakh leimor zeh yenakhameinu mima‘aseinu umei‘itsewon yadeinu min ha’adamah ’asher ’eirerah yhoh. 
genesis 5:30	vaykhi lemekh ’akharei holido ’et noakh khamesh vetish‘im shanah vakhamesh mei’ot shanah vayoled banim uwanot. 
genesis 5:31	vayhi kal yemei lemekh shewa‘ veshiw‘im shanah ushewa‘ mei’ot shanah vayamot. 
genesis 5:32	vayhi noakh ben khamesh mei’ot shanah vayoled noakh ’et shem ’et kham ve’et yafet. 
genesis 6:1	vayhi ki heikhel ha’adam larow ‘al penei ha’adamah uwanot yuledu lahem. 
genesis 6:2	vayir’u wenei ha’elohim ’et benot ha’adam ki towot henah vayiqkhu lahem nashim mikol ’asher bakharu. 
genesis 6:3	vayomer yhoh lo yadon rukhi wa’adam le‘olam beshagam hu wasar vehayu yamav mei’ah ve‘esrim shanah. 
genesis 6:4	hanefilim hayu wa’arets bayamim hahem vegam ’akharei khen ’asher yawo’u benei ha’elohim ’el benot ha’adam veyaledu lahem hemah hagiborim ’asher mei‘olam ’anshei hashem. 
genesis 6:5	vayar yhoh ki rabah ra‘at ha’adam ba’arets vekhal yeitser makhshewot libo raq ra‘ kal hayom. 
genesis 6:6	vayinakhem yhoh ki ‘asah ’et ha’adam ba’arets vayit‘atsew ’el libo. 
genesis 6:7	vayomer yhoh ’emkheh ’et ha’adam ’asher barati mei‘al penei ha’adamah mei’adam ‘ad beheimah ‘ad remes ve‘ad ‘of hashamayim ki nikhamti ki ‘asitim. 
genesis 6:8	venoakh matsa khen be‘einei yhoh. 
genesis 6:9	’eleh toldot noakh noakh ’ish tsadiq tamim hayah bedorotav ’et ha’elohim hithalekh noakh. 
genesis 6:10	vayoled noakh sheloshah wanim ’et shem ’et kham ve’et yafet. 
genesis 6:11	vatishakhet ha’arets lifnei ha’elohim vatimalei ha’arets khamas. 
genesis 6:12	vayar ’elohim ’et ha’arets vehineh nishkhatah ki hishkhit kal basar ’et darko ‘al ha’arets. 
genesis 6:13	vayomer ’elohim lenoakh qets kal basar ba lefanai ki male’ah ha’arets khamas mipeneihem vehini mashkhitam ’et ha’arets. 
genesis 6:14	‘aseh lekha teiwat ‘atsei gofer qinim ta‘aseh ’et hateiwah vekhafarta ’otah mibayit umikhuts bakofer. 
genesis 6:15	vezeh ’asher ta‘aseh ’otah shelosh mei’ot ’amah ’orekh hateiwah khamishim ’amah rakhebah usheloshim ’amah qomatah. 
genesis 6:16	tsohar ta‘aseh lateiwah ve’el ’amah tekhalenah milma‘lah ufetakh hateiwah betsidah tasim takhtiyim sheniyim ushelishim ta‘aseha. 
genesis 6:17	va’ani hini meiwi ’et hamabul mayim ‘al ha’arets leshakhet kal basar ’asher bo ruakh khayim mitakhat hashamayim kol ’asher ba’arets yigva‘. 
genesis 6:18	vahaqimoti ’et beriti ’itakh uwata ’el hateiwah ’atah uwanekha ve’ishtekha uneshei wanekha ’itakh. 
genesis 6:19	umikal hakhai mikal basar shenayim mikol tawi ’el hateiwah lehakhayot ’itakh zakhar uneqeiwah yihyu. 
genesis 6:20	meiha‘of lemineihu umin habeheimah leminah mikol remes ha’adamah lemineihu shenayim mikol yawo’u ’eilekha lehakhayot. 
genesis 6:21	ve’atah qakh lekha mikal ma’akhal ’asher yei’akhel ve’asafta ’eilekha vehayah lekha velahem le’akhlah 
genesis 6:22	vaya‘as noakh kekhol ’asher tsivah ’oto ’elohim ken ‘asah. 
genesis 7:1	vayomer yhoh lenoakh bo ’atah vekhal beitekha ’el hateiwah ki ’otekha ra’iti tsadiq lefanai bador hazeh. 
genesis 7:2	mikol habeheimah hatehorah tiqakh lekha shiw‘ah shiw‘ah ’ish ve’ishto umin habeheimah ’asher lo tehorah hi shenayim ’ish ve’ishto. 
genesis 7:3	gam mei‘of hashamayim shiw‘ah shiw‘ah zakhar uneqeiwah lekhayot zera‘ ‘al penei khal ha’arets. 
genesis 7:4	ki leyamim ‘od shiw‘ah ’anokhi mamtir ‘al ha’arets ’arba‘im yom ve’arba‘im layelah umakhiti ’et kal hayqum ’asher ‘asiti mei‘al penei ha’adamah. 
genesis 7:5	vaya‘as noakh kekhol ’asher tsivahu yhoh. 
genesis 7:6	venoakh ben shesh mei’ot shanah vehamabul hayah mayim ‘al ha’arets. 
genesis 7:7	vayawo noakh uwanav ve’ishto uneshei wanav ’ito ’el hateiwah mipenei mei hamabul. 
genesis 7:8	min habeheimah hatehorah umin habeheimah ’asher ’einenah tehorah umin ha‘of vekhol ’asher romes ‘al ha’adamah. 
genesis 7:9	shenayim shenayim ba’u ’el noakh ’el hateiwah zakhar uneqeiwah ka’asher tsivah ’elohim ’et noakh. 
genesis 7:10	vayhi leshiw‘at hayamim umei hamabul hayu ‘al ha’arets. 
genesis 7:11	bishnat shesh mei’ot shanah lekhayei noakh bakhodesh hasheini beshiw‘ah ‘asar yom lakhodesh bayom hazeh niwqe‘u kal ma‘yenot tehom rabah va’arubot hashamayim niftakhu. 
genesis 7:12	vayhi hageshem ‘al ha’arets ’arba‘im yom ve’arba‘im layelah. 
genesis 7:13	be‘etsem hayom hazeh ba noakh veshem vekham vayefet benei noakh ve’eishet noakh usheloshet neshei wanav ’itam ’el hateiwah. 
