genesis 5:3	wayHi ’adam, sheloshim ume’at shanah, wayoled bidmuto kezalmo; wayiqra ’et shemo sheit. 
genesis 5:4	wayihyu yemei ’adam, ’aHarei holido ’et sheit, shemoneh mei’ot shanah; wayoled banim uwanot. 
genesis 5:5	wayihyu kal yemei ’adam ’asher Hay, tesha‘ mei’ot shanah, usheloshim shanah; wayamot.
genesis 5:6	wayHi sheit Hameish shanim ume’at shanah; wayoled ’et ’enosh. 
genesis 5:7	wayHi sheit, ’aHarei holido ’et ’enosh, shewa‘ shanim, ushemoneh mei’ot shanah; wayoled banim uwanot. 
genesis 5:8	wayihyu kal yemei sheit, sheteim ‘esreih shanah, utesha‘ mei’ot shanah; wayamot.
genesis 5:9	wayHi ’enosh tish‘im shanah; wayoled ’et qeinan. 
genesis 5:10	wayHi ’enosh, ’aHarei holido ’et qeinan, Hameish ‘esreih shanah, ushemoneh mei’ot shanah; wayoled banim uwanot. 
genesis 5:11	wayihyu kal yemei ’enosh, Hameish shanim, utesha‘ mei’ot shanah; wayamot.
genesis 5:12	wayHi qeinan shiw‘im shanah; wayoled ’et mahalal’eil. 
genesis 5:13	wayHi qeinan, ’aHarei holido ’et mahalal’eil, ’arba‘im shanah, ushemoneh mei’ot shanah; wayoled banim uwanot. 
genesis 5:14	wayihyu kal yemei qeinan, ‘eser shanim, utesha‘ mei’ot shanah; wayamot.
genesis 5:15	wayHi mahalal’eil, Hameish shanim weshishim shanah; wayoled ’et yared. 
genesis 5:16	wayHi mahalal’eil, ’aHarei holido ’et yered, sheloshim shanah, ushemoneh mei’ot shanah; wayoled banim uwanot. 
genesis 5:17	wayihyu kal yemei mahalal’eil, Hameish wetish‘im shanah, ushemoneh mei’ot shanah; wayamot.
genesis 5:18	wayHi yered shetayim weshishim shanah ume’at shanah; wayoled ’et Hanokh. 
genesis 5:19	wayHi yered, ’aHarei holido ’et Hanokh, shemoneh mei’ot shanah; wayoled banim uwanot. 
genesis 5:20	wayihyu kal yemei yered, shetayim weshishim shanah, utesha‘ mei’ot shanah; wayamot.
genesis 5:21	wayHi Hanokh, Hameish weshishim shanah; wayoled ’et metushalaH. 
genesis 5:22	wayithaleikh Hanokh ’et ha’elohim, ’aHarei holido ’et metushelaH, shelosh mei’ot shanah; wayoled banim uwanot. 
genesis 5:23	wayhi kal yemei Hanokh; Hameish weshishim shanah, ushelosh mei’ot shanah. 
genesis 5:24	wayithaleikh Hanokh ’et ha’elohim; we’einenu ki laqaH ’oto ’elohim.
genesis 5:25	wayHi metushelaH, shewa‘ ushemonim shanah ume’at shanah; wayoled ’et lamekh. 
genesis 5:26	wayHi metushelaH, ’aHarei holido ’et lemekh, shetayim ushemonim shanah, ushewa‘ mei’ot shanah; wayoled banim uwanot. 
genesis 5:27	wayihyu kal yemei metushelaH, teisha‘ weshishim shanah, utesha‘ mei’ot shanah; wayamot.
genesis 5:28	wayHi lemekh shetayim ushemonim shanah ume’at shanah; wayoled bein. 
genesis 5:29	wayiqra ’et shemo noaH leimor; ceh yenaHameinu mima‘aseinu umei‘izewon yadeinu, min ha’adamah, ’asher ’eirerah yhoh. 
genesis 5:30	wayHi lemekh, ’aHarei holido ’et noaH, Hameish wetish‘im shanah, waHameish mei’ot shanah; wayoled banim uwanot. 
genesis 5:31	wayhi kal yemei lemekh, shewa‘ weshiw‘im shanah, ushewa‘ mei’ot shanah; wayamot.
genesis 5:32	wayhi noaH ben Hameish mei’ot shanah; wayoled noaH, ’et sheim ’et Ham we’et yafet. 
genesis 6:1	wayhi ki heiHeil ha’adam, larow ‘al penei ha’adamah; uwanot yuledu lahem. 
genesis 6:2	wayir’u wenei ha’elohim ’et benot ha’adam, ki Towot heinah; wayiqHu lahem nashim, mikol ’asher baHaru. 
genesis 6:3	wayomer yhoh lo yadon ruHi wa’adam le‘olam, beshagam hu wasar; wehayu yamaw, mei’ah we‘esrim shanah. 
genesis 6:4	hanefilim hayu wa’arez bayamim haheim wegam ’aHarei khein, ’asher yawo’u benei ha’elohim ’el benot ha’adam, weyaledu lahem; heimah hagiborim ’asher mei‘olam ’anshei hasheim.
genesis 6:5	wayar yhoh, ki rabah ra‘at ha’adam ba’arez; wekhal yeizer maHshewot libo, raq ra‘ kal hayom. 
genesis 6:6	wayinaHem yhoh, ki ‘asah ’et ha’adam ba’arez; wayit‘azeiw ’el libo. 
genesis 6:7	wayomer yhoh ’emHeh ’et ha’adam ’asher barati mei‘al penei ha’adamah, mei’adam ‘ad beheimah, ‘ad remes we‘ad ‘of hashamayim; ki niHamti ki ‘asitim. 
genesis 6:8	wenoaH maza Hein be‘einei yhoh.
genesis 6:9	’eileh toldot noaH, noaH, ’ish zadiq tamim hayah bedorotaw; ’et ha’elohim hithalekh noaH. 
genesis 6:10	wayoled noaH sheloshah wanim; ’et sheim ’et Ham we’et yafet. 
genesis 6:11	watishaHeit ha’arez lifnei ha’elohim; watimalei ha’arez Hamas. 
genesis 6:12	wayar ’elohim ’et ha’arez wehineih nishHatah; ki hishHit kal basar ’et darko ‘al ha’arez.
genesis 6:13	wayomer ’elohim lenoaH, qeiz kal basar ba lefanay, ki male’ah ha’arez Hamas mipeneihem; wehini mashHitam ’et ha’arez. 
genesis 6:14	‘aseih lekha teiwat ‘azei gofer, qinim ta‘aseh ’et hateiwah; wekhafarta ’otah mibayit umiHuz bakofer. 
genesis 6:15	weceh ’asher ta‘aseh ’otah; shelosh mei’ot ’amah, ’orekh hateiwah, Hamishim ’amah raHebah, usheloshim ’amah qomatah. 
genesis 6:16	zohar ta‘aseh lateiwah, we’el ’amah tekhalenah milma‘lah, ufetaH hateiwah bezidah tasim; taHtiyim sheniyim ushelishim ta‘aseha. 
